Job Ttile,Company Name,Job Location,Required Experience,Salary,Job Details Link
CustomerSupportEngineer,XeonBD,Anywhere in Bangladesh,Atleast1year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1015519&fcatId=8&ln=1
ProjectManager,SokrioTechnologiesLimited,Uttara East,2to4year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016902&fcatId=8&ln=1
ITOfficer,S.A.GroupofIndustries,Chattogram,Atleast2year(s),NegotiableAttractivesalarypackagewithlucrativebenefitswilloffertodeservingcandidate.,https://jobs.bdjobs.com/jobdetails.asp?id=1016858&fcatId=8&ln=1
AssistantManager-IT,ShopUp,Dhaka,3to5year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016874&fcatId=8&ln=1
SeniorWebDeveloper(Full-StackPHP&Laravel),TechnosoftIntegration,Dhaka,3to5year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016756&fcatId=8&ln=1
Sr.Programmer,TheDatabizSoftwareLtd.,Dhaka,4to5year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016827&fcatId=8&ln=1
Software/Sr.SoftwareEngineer(Full-stackdeveloper),Dnet,Mohammadpur,Atleast5year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016750&fcatId=8&ln=1
JuniorSoftwareEngineer,FakirKnitwearsLtd.,Narayanganj,1to4year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016800&fcatId=8&ln=1
Manager(Sales&Marketing),BabylonResourcesLtd.,Dhaka,Atleast5year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016786&fcatId=8&ln=1
"Manager,IT",Nitol-NiloyGroup,Dhaka,6to12year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016704&fcatId=8&ln=1
Executive-HRIS,WaltonHi-TechIndustriesLtd.,Dhaka,1to3year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016712&fcatId=8&ln=1
DigitalMarketingExecutive,BDCraft,Dhaka,Atmost1year(s),Tk.8000-12000(Monthly),https://jobs.bdjobs.com/jobdetails.asp?id=1016697&fcatId=8&ln=1
FullStackWebDeveloper(Female),SEOEXPARTEBANGLADESH,Bogura,Na,Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016369&fcatId=8&ln=1
JapaneseInterpreter/Translator(ITBackground),RapplesLimited,Dhaka,2to5year(s),Tk.35000-65000(Monthly),https://jobs.bdjobs.com/jobdetails.asp?id=1016547&fcatId=8&ln=1
APIDeveloper,WalCartLimited,Dhaka,Atleast3year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016635&fcatId=8&ln=1
JuniorDeveloper(PHP),MicroMacTechnoValleyLtd.,Dhaka,0to1year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016554&fcatId=8&ln=1
"Officer,IT",AReputedMultinationalCompany,Chattogram,2to4year(s),Negotiable,https://jobs.bdjobs.com/jobdetails.asp?id=1016564&fcatId=8&ln=1
